tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2008.0,1738.0,270.0,1212.0,796.0,1612.0,400.0,1603.0,1483.0,120.0,422.0,79.0,2105.0,700.0,1405.0,1.0,9.990602796220214,2.4241491460288036,5.164440221778859,4.924435532485502
2.0,2022.0,1655.0,367.0,1205.0,817.0,1620.0,415.0,1604.0,1483.0,120.0,505.0,80.0,2080.0,997.0,1083.0,14.0,10.019311246454055,2.4444595893452585,4.453495350241628,4.8895101608538765
3.0,2032.0,1635.0,397.0,1208.0,824.0,1631.0,423.0,1606.0,1482.0,120.0,525.0,76.0,2068.0,1125.0,943.0,28.0,10.053621523980237,2.466640416089284,3.8524328177345764,4.867275207919138
4.0,2047.0,1555.0,492.0,1207.0,840.0,1643.0,436.0,1609.0,1483.0,120.0,605.0,71.0,2123.0,1227.0,896.0,28.0,10.078058144655534,2.488957498136408,3.34366288947337,4.842849455706966
5.0,2059.0,1566.0,493.0,1212.0,847.0,1657.0,445.0,1609.0,1482.0,120.0,594.0,71.0,2064.0,1201.0,863.0,33.0,10.09880941268705,2.5119157849573392,2.913013752065985,4.840991393531358
6.0,2070.0,1522.0,548.0,1201.0,869.0,1669.0,468.0,1607.0,1478.0,120.0,638.0,72.0,2087.0,1269.0,818.0,33.0,10.109583184704396,2.532128962307527,2.54964630444265,4.827838832307575
7.0,2077.0,1537.0,540.0,1194.0,883.0,1683.0,489.0,1604.0,1473.0,120.0,623.0,74.0,2038.0,1247.0,791.0,28.0,10.135375527321834,2.55027353923945,2.243872780167182,4.810501530299229
8.0,2084.0,1507.0,577.0,1172.0,912.0,1706.0,534.0,1599.0,1468.0,120.0,653.0,76.0,2079.0,1301.0,778.0,25.0,10.173729803875894,2.5643081099743745,1.9863287608141844,4.797011916369388
9.0,2093.0,1472.0,621.0,1155.0,938.0,1719.0,564.0,1596.0,1464.0,120.0,688.0,85.0,2033.0,1289.0,744.0,26.0,10.190237908127745,2.575311556961617,1.77021091125702,4.770553237388516
10.0,2102.0,1474.0,628.0,1163.0,939.0,1736.0,573.0,1590.0,1457.0,121.0,704.0,84.0,2023.0,1283.0,740.0,21.0,10.222165865601117,2.585584139628763,1.5938722135626882,4.765951415552007
11.0,2115.0,1450.0,665.0,1158.0,957.0,1751.0,593.0,1584.0,1450.0,121.0,728.0,86.0,2020.0,1265.0,755.0,22.0,10.272510912652974,2.5941079609247093,1.4812299664545787,4.7296164700210985
12.0,2127.0,1447.0,680.0,1136.0,991.0,1769.0,633.0,1581.0,1447.0,121.0,731.0,88.0,2014.0,1253.0,761.0,21.0,10.320076911679497,2.59691027456285,1.4336934320309878,4.7054847915058025
13.0,2143.0,1454.0,689.0,1140.0,1003.0,1784.0,644.0,1577.0,1440.0,121.0,724.0,91.0,2026.0,1252.0,774.0,18.0,10.356217083745461,2.5983730524380833,1.4398677065191554,4.6746707738695585
14.0,2151.0,1450.0,701.0,1126.0,1025.0,1804.0,678.0,1574.0,1437.0,121.0,728.0,92.0,2056.0,1294.0,762.0,18.0,10.397877859191064,2.5963170223273737,1.4517342954612011,4.644069856232605
15.0,2164.0,1412.0,752.0,1127.0,1037.0,1824.0,697.0,1568.0,1431.0,121.0,766.0,93.0,2053.0,1287.0,766.0,18.0,10.45047886301417,2.593442171440622,1.4633714113512268,4.619614308621964
16.0,2178.0,1432.0,746.0,1128.0,1050.0,1840.0,712.0,1562.0,1424.0,121.0,746.0,91.0,2028.0,1274.0,754.0,13.0,10.467569175382927,2.5881541246999795,1.47608770227755,4.599185554877019
17.0,2186.0,1446.0,740.0,1159.0,1027.0,1855.0,696.0,1556.0,1417.0,121.0,732.0,88.0,2043.0,1289.0,754.0,15.0,10.525666166146909,2.5844708998755026,1.489718311111035,4.5661275154784375
18.0,2208.0,1416.0,792.0,1169.0,1039.0,1867.0,698.0,1559.0,1420.0,121.0,762.0,100.0,2061.0,1305.0,756.0,16.0,10.551125872761196,2.5806989683596693,1.504235739191992,4.540307310874832
19.0,2218.0,1463.0,755.0,1180.0,1038.0,1882.0,702.0,1558.0,1419.0,121.0,715.0,94.0,2043.0,1283.0,760.0,9.0,10.610543012517468,2.5747370791867246,1.51854560609116,4.502051096388327
20.0,2222.0,1485.0,737.0,1183.0,1039.0,1898.0,715.0,1555.0,1414.0,122.0,711.0,101.0,2088.0,1350.0,738.0,17.0,10.676775481482846,2.56748283287788,1.5337591609272472,4.464681780847522
